country_code,country,year,value
ARE,United Arab Emirates,2000,29865.5285002232
ARE,United Arab Emirates,2001,27745.1684523079
ARE,United Arab Emirates,2002,27753.5810466782
ARE,United Arab Emirates,2003,29659.5710296993
ARE,United Arab Emirates,2004,33376.6880534412
ARE,United Arab Emirates,2005,38719.3138285388
ARE,United Arab Emirates,2006,44342.603055045
ARE,United Arab Emirates,2007,45854.7352436978
ARE,United Arab Emirates,2008,50054.1700685968
ARE,United Arab Emirates,2009,37803.0663737818
ARE,United Arab Emirates,2010,44795.2846234991
ARE,United Arab Emirates,2011,51921.8890746408
ARE,United Arab Emirates,2012,53141.6251661086
ARE,United Arab Emirates,2013,53247.2278745159
ARE,United Arab Emirates,2014,52725.2307981936
ARE,United Arab Emirates,2015,44910.3458860776
ARE,United Arab Emirates,2016,42721.1136110991
ARE,United Arab Emirates,2017,43733.6242018215
ARE,United Arab Emirates,2018,47135.3478795605
ARE,United Arab Emirates,2019,45938.6084572227
ARE,United Arab Emirates,2020,37991.738387966
ARE,United Arab Emirates,2021,44118.4936214315
ARE,United Arab Emirates,2022,50759.7590190204
ARE,United Arab Emirates,2023,49850.6945082084
ARE,United Arab Emirates,2024,50273.5126243239
ARE,United Arab Emirates,2025,
AUS,Australia,2000,21908.9968019784
AUS,Australia,2001,19733.6510102645
AUS,Australia,2002,20335.0960191023
AUS,Australia,2003,23757.5898471684
AUS,Australia,2004,30886.0500949401
AUS,Australia,2005,34535.20727091
AUS,Australia,2006,36658.8243476122
AUS,Australia,2007,41128.2476618402
AUS,Australia,2008,49811.2067218988
AUS,Australia,2009,42954.8494884573
AUS,Australia,2010,52313.8939041213
AUS,Australia,2011,62799.3895017032
AUS,Australia,2012,68301.4402512587
AUS,Australia,2013,68476.6788496118
AUS,Australia,2014,62817.2061751737
AUS,Australia,2015,56970.3613028094
AUS,Australia,2016,50084.4440606385
AUS,Australia,2017,54117.547718609
AUS,Australia,2018,57410.1737346009
AUS,Australia,2019,55194.7585097428
AUS,Australia,2020,51983.4523666382
AUS,Australia,2021,60758.9044397144
AUS,Australia,2022,65169.5191118657
AUS,Australia,2023,65058.3773146674
AUS,Australia,2024,64609.9865116088
AUS,Australia,2025,65129.7227990563
BRA,Brazil,2000,3766.54811466032
BRA,Brazil,2001,3176.28935747524
BRA,Brazil,2002,2855.94018885769
BRA,Brazil,2003,3090.6070097455
BRA,Brazil,2004,3663.823188064
BRA,Brazil,2005,4827.78173074714
BRA,Brazil,2006,5934.14470924968
BRA,Brazil,2007,7409.69130673473
BRA,Brazil,2008,8908.33176538648
BRA,Brazil,2009,8678.6592244676
BRA,Brazil,2010,11403.2821278747
BRA,Brazil,2011,13396.6243562986
BRA,Brazil,2012,12521.7213519966
BRA,Brazil,2013,12458.8912138813
BRA,Brazil,2014,12274.9939689363
BRA,Brazil,2015,8936.19661712113
BRA,Brazil,2016,8836.28652735657
BRA,Brazil,2017,10080.5092819305
BRA,Brazil,2018,9300.66164923219
BRA,Brazil,2019,9029.83326681073
BRA,Brazil,2020,7074.19378337644
BRA,Brazil,2021,7972.5366498646
BRA,Brazil,2022,9281.33334441234
BRA,Brazil,2023,10377.5892792557
BRA,Brazil,2024,10310.5486973693
BRA,Brazil,2025,10713.2856869511
CAN,Canada,2000,24271.0020563821
CAN,Canada,2001,23822.096210932
CAN,Canada,2002,24256.0598742201
CAN,Canada,2003,28301.9097055898
CAN,Canada,2004,32145.5653280273
CAN,Canada,2005,36383.9671341396
CAN,Canada,2006,40504.8490329826
CAN,Canada,2007,44660.0838892281
CAN,Canada,2008,46710.3654423328
CAN,Canada,2009,40874.9612318547
CAN,Canada,2010,47560.8378831258
CAN,Canada,2011,52224.1237767406
CAN,Canada,2012,52670.1429540952
CAN,Canada,2013,52637.7313222622
CAN,Canada,2014,50960.8942086685
CAN,Canada,2015,43594.2379080706
CAN,Canada,2016,42314.1033623905
CAN,Canada,2017,45129.7335281051
CAN,Canada,2018,46539.2177903178
CAN,Canada,2019,46352.9695208927
CAN,Canada,2020,43537.8981198851
CAN,Canada,2021,52886.6407813788
CAN,Canada,2022,56496.9275340663
CAN,Canada,2023,54847.5370112652
CAN,Canada,2024,55015.7066917734
CAN,Canada,2025,55697.6639660837
CHN,China,2000,969.199513696287
CHN,China,2001,1065.40597574519
CHN,China,2002,1163.55957673426
CHN,China,2003,1306.97245408557
CHN,China,2004,1530.92726215723
CHN,China,2005,1777.64496828464
CHN,China,2006,2129.25696999613
CHN,China,2007,2734.72709877693
CHN,China,2008,3523.44302065213
CHN,China,2009,3898.24459158811
CHN,China,2010,4629.24551710077
CHN,China,2011,5703.76027973346
CHN,China,2012,6405.0574241349
CHN,China,2013,7147.03518622344
CHN,China,2014,7781.06597484974
CHN,China,2015,8175.33285077393
CHN,China,2016,8254.86859320357
CHN,China,2017,8979.67652709856
CHN,China,2018,10085.6638148819
CHN,China,2019,10342.9009524335
CHN,China,2020,10627.4637989619
CHN,China,2021,12887.4357242941
CHN,China,2022,12970.6056414327
CHN,China,2023,12951.1782397043
CHN,China,2024,13293.1162269366
CHN,China,2025,13861.970224368
DEU,Germany,2000,23925.8559901991
DEU,Germany,2001,23878.3641471651
DEU,Germany,2002,25486.5942008748
DEU,Germany,2003,30711.1022511331
DEU,Germany,2004,34566.7359143735
DEU,Germany,2005,35084.4363546269
DEU,Germany,2006,36980.3349948954
DEU,Germany,2007,42350.9217211489
DEU,Germany,2008,46379.1647953479
DEU,Germany,2009,42471.8868625226
DEU,Germany,2010,42396.9665976293
DEU,Germany,2011,47630.9761883572
DEU,Germany,2012,44718.0159214069
DEU,Germany,2013,47206.8353514242
DEU,Germany,2014,48959.5991203133
DEU,Germany,2015,41929.7549110722
DEU,Germany,2016,42948.9381932694
DEU,Germany,2017,45553.9341495339
DEU,Germany,2018,48916.1686612154
DEU,Germany,2019,47656.199739747
DEU,Germany,2020,47394.8734504469
DEU,Germany,2021,52349.2459994422
DEU,Germany,2022,50506.5179638543
DEU,Germany,2023,54776.7668235491
DEU,Germany,2024,56103.7323182554
DEU,Germany,2025,60496.4350820414
FRA,France,2000,22340.5939516217
FRA,France,2001,22331.7948343036
FRA,France,2002,24144.5727019529
FRA,France,2003,29479.5222101175
FRA,France,2004,33644.9282220364
FRA,France,2005,34696.3718316971
FRA,France,2006,36431.5658906555
FRA,France,2007,41486.1907828787
FRA,France,2008,45464.8181385158
FRA,France,2009,41728.0884164132
FRA,France,2010,40694.8211697025
FRA,France,2011,43929.7840873812
FRA,France,2012,40863.5814412333
FRA,France,2013,42669.1795111893
FRA,France,2014,43148.0459288416
FRA,France,2015,36702.4323733379
FRA,France,2016,37024.2157133669
FRA,France,2017,38687.1626407164
FRA,France,2018,41418.1766484844
FRA,France,2019,40408.2848574751
FRA,France,2020,39169.8606000707
FRA,France,2021,43725.0999521245
FRA,France,2022,40988.6396406579
FRA,France,2023,44700.1384177544
FRA,France,2024,46103.0840855884
FRA,France,2025,48985.7307807924
GBR,United Kingdom,2000,28383.8761094996
GBR,United Kingdom,2001,28013.8729635508
GBR,United Kingdom,2002,30158.7017807858
GBR,United Kingdom,2003,34556.7726095905
GBR,United Kingdom,2004,40504.4118103928
GBR,United Kingdom,2005,42240.2462987547
GBR,United Kingdom,2006,44695.161023424
GBR,United Kingdom,2007,50629.0799172887
GBR,United Kingdom,2008,47652.4030691881
GBR,United Kingdom,2009,39009.3715547821
GBR,United Kingdom,2010,39778.3220528565
GBR,United Kingdom,2011,42295.9273835322
GBR,United Kingdom,2012,42688.3263728372
GBR,United Kingdom,2013,43607.6636827371
GBR,United Kingdom,2014,47746.9810645521
GBR,United Kingdom,2015,45256.040227057
GBR,United Kingdom,2016,41258.5374285695
GBR,United Kingdom,2017,40918.0520870944
GBR,United Kingdom,2018,43704.3162296687
GBR,United Kingdom,2019,43160.6843971799
GBR,United Kingdom,2020,40815.1255364787
GBR,United Kingdom,2021,47695.6491523474
GBR,United Kingdom,2022,47034.7795621476
GBR,United Kingdom,2023,49919.6896621586
GBR,United Kingdom,2024,53341.3131094262
GBR,United Kingdom,2025,57601.9621201954
IND,India,2000,442.750218937263
IND,India,2001,450.357900514128
IND,India,2002,469.149928973927
IND,India,2003,544.143133545002
IND,India,2004,624.258826510066
IND,India,2005,710.488080408949
IND,India,2006,801.668353659022
IND,India,2007,1021.88707706826
IND,India,2008,992.519584923828
IND,India,2009,1094.94974598436
IND,India,2010,1347.51939071367
IND,India,2011,1445.46127486037
IND,India,2012,1429.32199520032
IND,India,2013,1432.84397512195
IND,India,2014,1553.88396075118
IND,India,2015,1583.99815907985
IND,India,2016,1707.50892912243
IND,India,2017,1950.10468280866
IND,India,2018,1966.25455171679
IND,India,2019,2041.42863698585
IND,India,2020,1907.04251637669
IND,India,2021,2239.61384367482
IND,India,2022,2279.98145719369
IND,India,2023,2434.44826340989
IND,India,2024,2591.9916607122
IND,India,2025,2702.47987141553
JPN,Japan,2000,39752.937397755
JPN,Japan,2001,34910.166403687
JPN,Japan,2002,33315.9165174962
JPN,Japan,2003,35808.6816792388
JPN,Japan,2004,38677.5708064787
JPN,Japan,2005,38158.6758263963
JPN,Japan,2006,36354.4271646349
JPN,Japan,2007,36129.9535132925
JPN,Japan,2008,40294.2081309702
JPN,Japan,2009,41678.1783063195
JPN,Japan,2010,45378.1378109399
JPN,Japan,2011,49122.077634247
JPN,Japan,2012,49626.6830327571
JPN,Japan,2013,41369.1948479498
JPN,Japan,2014,39172.8471161948
JPN,Japan,2015,35664.6446110613
JPN,Japan,2016,40214.9688631562
JPN,Japan,2017,39679.8635262948
JPN,Japan,2018,40645.478086519
JPN,Japan,2019,41424.8655601543
JPN,Japan,2020,41098.9739004553
JPN,Japan,2021,41580.739040705
JPN,Japan,2022,35548.2645222433
JPN,Japan,2023,35215.003535366
JPN,Japan,2024,33797.1014287876
JPN,Japan,2025,35951.0449549304
KOR,"Korea, Rep.",2000,12710.2995795579
KOR,"Korea, Rep.",2001,11981.4828218758
KOR,"Korea, Rep.",2002,13642.9424537101
KOR,"Korea, Rep.",2003,15211.5483770422
KOR,"Korea, Rep.",2004,17121.6301633201
KOR,"Korea, Rep.",2005,20167.0474902506
KOR,"Korea, Rep.",2006,22609.7059431449
KOR,"Korea, Rep.",2007,25078.4853957105
KOR,"Korea, Rep.",2008,22252.3125108061
KOR,"Korea, Rep.",2009,19937.3029137734
KOR,"Korea, Rep.",2010,24071.2620526362
KOR,"Korea, Rep.",2011,26175.2398553363
KOR,"Korea, Rep.",2012,26600.5477433903
KOR,"Korea, Rep.",2013,28449.3591104972
KOR,"Korea, Rep.",2014,30667.0912467447
KOR,"Korea, Rep.",2015,30171.7906545222
KOR,"Korea, Rep.",2016,30832.0628072516
KOR,"Korea, Rep.",2017,33296.9845439195
KOR,"Korea, Rep.",2018,35363.9508228687
KOR,"Korea, Rep.",2019,33826.9443301597
KOR,"Korea, Rep.",2020,33645.7719545073
KOR,"Korea, Rep.",2021,37518.4635305697
KOR,"Korea, Rep.",2022,34822.4048404971
KOR,"Korea, Rep.",2023,35674.095995632
KOR,"Korea, Rep.",2024,36238.639908315
KOR,"Korea, Rep.",2025,36226.9663637512
SAU,Saudi Arabia,2000,11714.5623675159
SAU,Saudi Arabia,2001,10805.311325122
SAU,Saudi Arabia,2002,10586.0543471363
SAU,Saudi Arabia,2003,11487.220410693
SAU,Saudi Arabia,2004,13154.4978989446
SAU,Saudi Arabia,2005,15975.7473782258
SAU,Saudi Arabia,2006,17563.6145370639
SAU,Saudi Arabia,2007,18596.1502627898
SAU,Saudi Arabia,2008,22320.4888964331
SAU,Saudi Arabia,2009,17718.3911648365
SAU,Saudi Arabia,2010,22028.3901426586
SAU,Saudi Arabia,2011,27126.7498747702
SAU,Saudi Arabia,2012,28733.4375513452
SAU,Saudi Arabia,2013,27865.465604962
SAU,Saudi Arabia,2014,27805.4850319422
SAU,Saudi Arabia,2015,23256.1549553531
SAU,Saudi Arabia,2016,22267.7217050387
SAU,Saudi Arabia,2017,23929.2907135982
SAU,Saudi Arabia,2018,29360.0658968566
SAU,Saudi Arabia,2019,29566.7933827436
SAU,Saudi Arabia,2020,24338.8307301067
SAU,Saudi Arabia,2021,31920.7653655643
SAU,Saudi Arabia,2022,38510.2276211037
SAU,Saudi Arabia,2023,36156.8562500172
SAU,Saudi Arabia,2024,35527.786181866
SAU,Saudi Arabia,2025,34536.6555456551
SGP,Singapore,2000,23852.8389514753
SGP,Singapore,2001,21699.7414868907
SGP,Singapore,2002,22159.8373710639
SGP,Singapore,2003,23730.3840054566
SGP,Singapore,2004,27608.080013423
SGP,Singapore,2005,29961.3172812732
SGP,Singapore,2006,33768.4528234651
SGP,Singapore,2007,39432.8860198877
SGP,Singapore,2008,40008.5720489092
SGP,Singapore,2009,38926.8054365453
SGP,Singapore,2010,47236.683084953
SGP,Singapore,2011,53891.4570264372
SGP,Singapore,2012,55547.5553077786
SGP,Singapore,2013,56967.4257940383
SGP,Singapore,2014,57564.8023114977
SGP,Singapore,2015,55645.6068614606
SGP,Singapore,2016,57204.0340105222
SGP,Singapore,2017,61436.1325502558
SGP,Singapore,2018,67032.8225769734
SGP,Singapore,2019,66068.7003106378
SGP,Singapore,2020,61772.5036492256
SGP,Singapore,2021,80884.8565369236
